Date,ProblemType,ExampleNumber,ErrorMyMethod,ErrorMusserMethod,ErrorMatlabMethod,ErrorMultroots,MeanMethod,Preproc,emin,emax,LowRankMethod,DeconvolutionMethod,TimeMyMethod,TimeMusserMethod,UX_Method
25-May-2016 09:45:18, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 2.552261e-07, 	 9.549690e-09, 	 2.056381e-11, 	 5.827646e-11, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-10, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 1.267023e-01, 	 1.329762e-01, 	 From ux 
25-May-2016 09:45:18, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 2.029107e-08, 	 9.596427e-09, 	 9.589723e-11, 	 9.589785e-11, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-09, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 1.364287e-01, 	 9.847202e-02, 	 From ux 
25-May-2016 09:45:19, 	 Roots, 	 Custom:m=4 low=-10 high=10, 	 3.446080e-12, 	 5.753260e-12, 	 6.989252e-13, 	 1.386175e-12, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None, 	 Batch, 	 2.856191e-01, 	 4.621477e-01, 	 From ux 
25-May-2016 09:45:20, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 4.390968e-08, 	 1.442288e-06, 	 2.056537e-10, 	 2.056587e-10, 	 None, 	 y, 	 1.000000e-09, 	 1.000000e-12, 	 None, 	 Batch, 	 7.509958e-01, 	 9.769438e-01, 	 From ux 
25-May-2016 09:45:21, 	 Roots, 	 Custom:m=4 low=-10 high=10, 	 3.628530e-12, 	 1.185115e-12, 	 6.989252e-13, 	 1.386175e-12, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 3.354428e-01, 	 4.831696e-01, 	 From ux 
25-May-2016 09:45:21, 	 Roots, 	 Custom:m=4 low=-10 high=10, 	 6.576731e-12, 	 3.658687e-12, 	 6.989252e-13, 	 1.386175e-12, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None, 	 Batch, 	 4.394240e-02, 	 3.153232e-02, 	 From ux 
25-May-2016 09:45:22, 	 Roots, 	 Custom:m=4 low=-10 high=10, 	 1.026192e-12, 	 9.533009e-13, 	 6.989252e-13, 	 1.386175e-12, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 6.412533e-02, 	 4.700665e-02, 	 From ux 
25-May-2016 09:45:23, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 6.075383e-09, 	 5.378572e-08, 	 2.056537e-10, 	 2.056587e-10, 	 None, 	 y, 	 1.000000e-09, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 7.741890e-01, 	 9.946167e-01, 	 From ux 
25-May-2016 09:45:23, 	 Roots, 	 Custom:m=4 low=-10 high=10, 	 3.446506e-12, 	 5.749190e-12, 	 6.989252e-13, 	 1.386175e-12, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None, 	 Batch, 	 3.035745e-01, 	 4.230603e-01, 	 From ux 
25-May-2016 09:45:23, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 2.232852e-06, 	 3.416499e-06, 	 2.056537e-10, 	 2.056587e-10, 	 None, 	 n, 	 1.000000e-09, 	 1.000000e-12, 	 None, 	 Batch, 	 1.223591e-01, 	 9.750326e-02, 	 From ux 
