25-May-2016 09:30:34, 	 GCD, 	 Custom:m=9 n=8 t=1 low=-1 high=5, 	 9, 	 8, 	 None, 	 3.308244e+04, 	 -3.288126e+04, 	 1.089353e+04, 	 -8.677948e+03, 	 y, 	 2.446777e+00, 	 1.833284e+00 
25-May-2016 09:30:34, 	 GCD, 	 Custom:m=7 n=7 t=2 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 7.638618e+00, 	 -7.690250e+00, 	 6.675375e+00, 	 -8.090062e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:34, 	 GCD, 	 Custom:m=7 n=7 t=2 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 1.744758e+01, 	 -2.313314e+01, 	 1.524741e+01, 	 -1.403133e+01, 	 y, 	 1.517184e+00, 	 1.316963e+00 
25-May-2016 09:30:35, 	 GCD, 	 Custom:m=9 n=8 t=1 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 1.054450e+01, 	 -8.763831e+00, 	 7.356202e+00, 	 -8.378125e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:35, 	 GCD, 	 Custom:m=7 n=7 t=1 low=-1 high=5, 	 7, 	 7, 	 None, 	 3.739440e+01, 	 -4.979368e+01, 	 4.561346e+02, 	 -4.843111e+02, 	 y, 	 1, 	 1 
25-May-2016 09:30:35, 	 GCD, 	 Custom:m=9 n=8 t=1 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 9.960069e+01, 	 -9.899499e+01, 	 6.588664e+01, 	 -5.248625e+01, 	 y, 	 1.221970e+00, 	 1.833284e+00 
25-May-2016 09:30:35, 	 GCD, 	 Custom:m=7 n=7 t=1 low=-1 high=5, 	 7, 	 7, 	 None, 	 4.652933e+01, 	 -5.930761e+01, 	 5.200501e+02, 	 -5.285578e+02, 	 y, 	 1.122065e-01, 	 1.044682e+00 
25-May-2016 09:30:35, 	 GCD, 	 Custom:m=9 n=8 t=1 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 1.054450e+01, 	 -8.763831e+00, 	 7.356202e+00, 	 -8.378125e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:35, 	 GCD, 	 Custom:m=7 n=7 t=1 low=-1 high=5, 	 7, 	 7, 	 None, 	 3.739440e+01, 	 -4.979368e+01, 	 4.561346e+02, 	 -4.843111e+02, 	 y, 	 1, 	 1 
25-May-2016 09:30:35, 	 GCD, 	 Custom:m=9 n=8 t=1 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 9.960069e+01, 	 -9.899499e+01, 	 6.588664e+01, 	 -5.248625e+01, 	 y, 	 1.221970e+00, 	 1.833284e+00 
25-May-2016 09:30:35, 	 GCD, 	 Custom:m=7 n=7 t=1 low=-1 high=5, 	 7, 	 7, 	 None, 	 4.652933e+01, 	 -5.930761e+01, 	 5.200501e+02, 	 -5.285578e+02, 	 y, 	 1.122065e-01, 	 1.044682e+00 
25-May-2016 09:30:36, 	 GCD, 	 Custom:m=9 n=7 t=7 low=-1 high=5, 	 9, 	 7, 	 None, 	 8.702957e+03, 	 -1.014566e+04, 	 4.359696e+03, 	 -6.624178e+03, 	 y, 	 1, 	 1 
25-May-2016 09:30:36, 	 GCD, 	 Custom:m=7 n=7 t=1 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 5.971770e+00, 	 -7.951897e+00, 	 5.914200e+00, 	 -6.279533e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:36, 	 GCD, 	 Custom:m=9 n=7 t=7 low=-1 high=5, 	 9, 	 7, 	 None, 	 1.275538e+05, 	 -1.256018e+05, 	 2.877353e+04, 	 -2.330719e+04, 	 y, 	 3.975601e+00, 	 1.875767e+00 
25-May-2016 09:30:36, 	 GCD, 	 Custom:m=7 n=7 t=1 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 7.430591e+00, 	 -9.471242e+00, 	 6.742923e+00, 	 -6.853232e+00, 	 y, 	 1.382011e+00, 	 1.044682e+00 
25-May-2016 09:30:36, 	 GCD, 	 Custom:m=9 n=7 t=7 low=-1 high=5, 	 9, 	 7, 	 None, 	 8.702957e+03, 	 -1.014566e+04, 	 4.359696e+03, 	 -6.624178e+03, 	 y, 	 1, 	 1 
25-May-2016 09:30:36, 	 GCD, 	 Custom:m=7 n=7 t=1 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 5.971770e+00, 	 -7.951897e+00, 	 5.914200e+00, 	 -6.279533e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:36, 	 GCD, 	 Custom:m=9 n=7 t=7 low=-1 high=5, 	 9, 	 7, 	 None, 	 1.275538e+05, 	 -1.256018e+05, 	 2.877353e+04, 	 -2.330719e+04, 	 y, 	 3.975601e+00, 	 1.875767e+00 
25-May-2016 09:30:36, 	 GCD, 	 Custom:m=7 n=7 t=1 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 7.430591e+00, 	 -9.471242e+00, 	 6.742923e+00, 	 -6.853232e+00, 	 y, 	 1.382011e+00, 	 1.044682e+00 
25-May-2016 09:30:36, 	 GCD, 	 Custom:m=9 n=7 t=7 low=-1 high=5, 	 9, 	 7, 	 Geometric Mean Matlab Method, 	 1.598342e+01, 	 -1.863301e+01, 	 9.703155e+00, 	 -1.474310e+01, 	 y, 	 1, 	 1 
25-May-2016 09:30:36, 	 GCD, 	 Custom:m=7 n=6 t=6 low=-1 high=5, 	 7, 	 6, 	 None, 	 4.359696e+03, 	 -6.624178e+03, 	 1.252649e+03, 	 -7.367301e+02, 	 y, 	 1, 	 1 
25-May-2016 09:30:36, 	 GCD, 	 Custom:m=9 n=7 t=7 low=-1 high=5, 	 9, 	 7, 	 Geometric Mean Matlab Method, 	 2.342590e+02, 	 -2.306741e+02, 	 6.403978e+01, 	 -5.187363e+01, 	 y, 	 3.267015e+00, 	 1.875767e+00 
25-May-2016 09:30:36, 	 GCD, 	 Custom:m=7 n=6 t=6 low=-1 high=5, 	 7, 	 6, 	 None, 	 1.130660e+05, 	 -1.106347e+05, 	 1.274189e+04, 	 -1.714454e+04, 	 y, 	 5.939371e+00, 	 2.960001e+00 
25-May-2016 09:30:37, 	 GCD, 	 Custom:m=9 n=7 t=7 low=-1 high=5, 	 9, 	 7, 	 Geometric Mean Matlab Method, 	 1.598342e+01, 	 -1.863301e+01, 	 9.703155e+00, 	 -1.474310e+01, 	 y, 	 1, 	 1 
25-May-2016 09:30:37, 	 GCD, 	 Custom:m=7 n=6 t=6 low=-1 high=5, 	 7, 	 6, 	 None, 	 4.359696e+03, 	 -6.624178e+03, 	 1.252649e+03, 	 -7.367301e+02, 	 y, 	 1, 	 1 
25-May-2016 09:30:37, 	 GCD, 	 Custom:m=9 n=7 t=7 low=-1 high=5, 	 9, 	 7, 	 Geometric Mean Matlab Method, 	 2.342590e+02, 	 -2.306741e+02, 	 6.403978e+01, 	 -5.187363e+01, 	 y, 	 3.267015e+00, 	 1.875767e+00 
25-May-2016 09:30:37, 	 GCD, 	 Custom:m=7 n=6 t=6 low=-1 high=5, 	 7, 	 6, 	 None, 	 1.130660e+05, 	 -1.106347e+05, 	 1.274189e+04, 	 -1.714454e+04, 	 y, 	 5.939371e+00, 	 2.960001e+00 
25-May-2016 09:30:37, 	 GCD, 	 Custom:m=7 n=6 t=6 low=-1 high=5, 	 7, 	 6, 	 Geometric Mean Matlab Method, 	 9.703155e+00, 	 -1.474310e+01, 	 9.184835e+00, 	 -5.401950e+00, 	 y, 	 1, 	 1 
