date,type,example_num,m,n,t,error,mean method, preproc, noise low, noise high, low rank method
25-May-2016 12:26:51, 	 GCD, 	 Custom:m=9 n=8 t=1 low=-1 high=5, 	 9, 	 8, 	     1, 	 8.833901e-02, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:51, 	 GCD, 	 Custom:m=9 n=8 t=1 low=-1 high=5, 	 9, 	 8, 	     1, 	 8.833901e-02, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:51, 	 GCD, 	 Custom:m=7 n=7 t=2 low=-1 high=5, 	 7, 	 7, 	     2, 	 2.843213e-11, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:51, 	 GCD, 	 Custom:m=7 n=7 t=2 low=-1 high=5, 	 7, 	 7, 	     2, 	 2.788601e-11, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:52, 	 GCD, 	 Custom:m=9 n=8 t=1 low=-1 high=5, 	 9, 	 8, 	     8, 	 , 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:52, 	 GCD, 	 Custom:m=7 n=7 t=2 low=-1 high=5, 	 7, 	 7, 	     2, 	 2.788601e-11, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:52, 	 GCD, 	 Custom:m=9 n=8 t=1 low=-1 high=5, 	 9, 	 8, 	     8, 	 , 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:52, 	 GCD, 	 Custom:m=7 n=7 t=2 low=-1 high=5, 	 7, 	 7, 	     2, 	 2.957700e-11, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:52, 	 GCD, 	 Custom:m=9 n=8 t=1 low=-1 high=5, 	 9, 	 8, 	     1, 	 3.299517e-02, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:52, 	 GCD, 	 Custom:m=7 n=7 t=2 low=-1 high=5, 	 7, 	 7, 	     2, 	 2.720096e-11, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:52, 	 GCD, 	 Custom:m=9 n=8 t=1 low=-1 high=5, 	 9, 	 8, 	     1, 	 3.299517e-02, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:52, 	 GCD, 	 Custom:m=7 n=7 t=1 low=-1 high=5, 	 7, 	 7, 	     1, 	 7.478715e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:53, 	 GCD, 	 Custom:m=7 n=7 t=1 low=-1 high=5, 	 7, 	 7, 	     1, 	 7.478715e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:53, 	 GCD, 	 Custom:m=9 n=8 t=1 low=-1 high=5, 	 9, 	 8, 	     2, 	 , 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:53, 	 GCD, 	 Custom:m=7 n=7 t=1 low=-1 high=5, 	 7, 	 7, 	     1, 	 8.770624e-12, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:53, 	 GCD, 	 Custom:m=9 n=8 t=1 low=-1 high=5, 	 9, 	 8, 	     2, 	 , 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:54, 	 GCD, 	 Custom:m=9 n=7 t=7 low=-1 high=5, 	 9, 	 7, 	     7, 	 7.796984e-13, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:54, 	 GCD, 	 Custom:m=7 n=7 t=1 low=-1 high=5, 	 7, 	 7, 	     1, 	 8.770624e-12, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:54, 	 GCD, 	 Custom:m=9 n=7 t=7 low=-1 high=5, 	 9, 	 7, 	     7, 	 1.536035e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:54, 	 GCD, 	 Custom:m=7 n=7 t=1 low=-1 high=5, 	 7, 	 7, 	     1, 	 9.730225e-12, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:54, 	 GCD, 	 Custom:m=7 n=7 t=1 low=-1 high=5, 	 7, 	 7, 	     1, 	 9.730225e-12, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:54, 	 GCD, 	 Custom:m=9 n=7 t=7 low=-1 high=5, 	 9, 	 7, 	     7, 	 1.753707e-12, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:54, 	 GCD, 	 Custom:m=7 n=7 t=1 low=-1 high=5, 	 7, 	 7, 	     1, 	 1.152638e-11, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:54, 	 GCD, 	 Custom:m=9 n=7 t=7 low=-1 high=5, 	 9, 	 7, 	     7, 	 5.417218e-12, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:54, 	 GCD, 	 Custom:m=9 n=7 t=7 low=-1 high=5, 	 9, 	 7, 	     7, 	 8.730629e-13, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:54, 	 GCD, 	 Custom:m=7 n=7 t=1 low=-1 high=5, 	 7, 	 7, 	     1, 	 1.152638e-11, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:54, 	 GCD, 	 Custom:m=9 n=7 t=7 low=-1 high=5, 	 9, 	 7, 	     7, 	 1.536621e-12, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
